dateRep,year_week,cases_weekly,deaths_weekly,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,notification_rate_per_100000_population_14-days
21/12/2020,2020-51,173574,4300,Germany,DE,DEU,83019213,Europe,393.88
14/12/2020,2020-50,153424,3056,Germany,DE,DEU,83019213,Europe,341.14
07/12/2020,2020-49,129785,2671,Germany,DE,DEU,83019213,Europe,306.58
30/11/2020,2020-48,124736,2136,Germany,DE,DEU,83019213,Europe,304.2
23/11/2020,2020-47,127806,1565,Germany,DE,DEU,83019213,Europe,309.89
16/11/2020,2020-46,129459,1195,Germany,DE,DEU,83019213,Europe,308.72
09/11/2020,2020-45,126841,822,Germany,DE,DEU,83019213,Europe,281.86
02/11/2020,2020-44,107161,474,Germany,DE,DEU,83019213,Europe,215.29
26/10/2020,2020-43,71567,267,Germany,DE,DEU,83019213,Europe,135.55
19/10/2020,2020-42,40968,168,Germany,DE,DEU,83019213,Europe,79.11
12/10/2020,2020-41,24712,87,Germany,DE,DEU,83019213,Europe,48.18
05/10/2020,2020-40,15287,74,Germany,DE,DEU,83019213,Europe,34.07
28/09/2020,2020-39,12995,74,Germany,DE,DEU,83019213,Europe,30.09
21/09/2020,2020-38,11982,36,Germany,DE,DEU,83019213,Europe,25.94
14/09/2020,2020-37,9556,25,Germany,DE,DEU,83019213,Europe,21.65
07/09/2020,2020-36,8418,27,Germany,DE,DEU,83019213,Europe,20.75
31/08/2020,2020-35,8806,26,Germany,DE,DEU,83019213,Europe,22.12
24/08/2020,2020-34,9561,40,Germany,DE,DEU,83019213,Europe,20.78
17/08/2020,2020-33,7687,35,Germany,DE,DEU,83019213,Europe,16.4
10/08/2020,2020-32,5925,49,Germany,DE,DEU,83019213,Europe,12.91
03/08/2020,2020-31,4793,30,Germany,DE,DEU,83019213,Europe,10.33
27/07/2020,2020-30,3786,32,Germany,DE,DEU,83019213,Europe,8.01
20/07/2020,2020-29,2860,22,Germany,DE,DEU,83019213,Europe,6.35
13/07/2020,2020-28,2409,48,Germany,DE,DEU,83019213,Europe,6.27
06/07/2020,2020-27,2793,55,Germany,DE,DEU,83019213,Europe,7.46
29/06/2020,2020-26,3402,76,Germany,DE,DEU,83019213,Europe,8.79
22/06/2020,2020-25,3898,94,Germany,DE,DEU,83019213,Europe,7.43
15/06/2020,2020-24,2268,117,Germany,DE,DEU,83019213,Europe,5.6
08/06/2020,2020-23,2378,163,Germany,DE,DEU,83019213,Europe,6.77
01/06/2020,2020-22,3245,254,Germany,DE,DEU,83019213,Europe,8.57
25/05/2020,2020-21,3873,322,Germany,DE,DEU,83019213,Europe,10.83
18/05/2020,2020-20,5122,518,Germany,DE,DEU,83019213,Europe,13.88
11/05/2020,2020-19,6400,725,Germany,DE,DEU,83019213,Europe,17.32
04/05/2020,2020-18,7982,942,Germany,DE,DEU,83019213,Europe,25.9
27/04/2020,2020-17,13521,1346,Germany,DE,DEU,83019213,Europe,38.76
20/04/2020,2020-16,18656,1605,Germany,DE,DEU,83019213,Europe,55.75
13/04/2020,2020-15,27625,1365,Germany,DE,DEU,83019213,Europe,79.16
06/04/2020,2020-14,38093,979,Germany,DE,DEU,83019213,Europe,85.06
30/03/2020,2020-13,32524,361,Germany,DE,DEU,83019213,Europe,63.19
23/03/2020,2020-12,19936,82,Germany,DE,DEU,83019213,Europe,28.75
16/03/2020,2020-11,3936,12,Germany,DE,DEU,83019213,Europe,5.67
09/03/2020,2020-10,773,0,Germany,DE,DEU,83019213,Europe,1.07
02/03/2020,2020-09,114,0,Germany,DE,DEU,83019213,Europe,0.14
24/02/2020,2020-08,0,0,Germany,DE,DEU,83019213,Europe,0.0
17/02/2020,2020-07,2,0,Germany,DE,DEU,83019213,Europe,0.01
10/02/2020,2020-06,4,0,Germany,DE,DEU,83019213,Europe,0.02
03/02/2020,2020-05,9,0,Germany,DE,DEU,83019213,Europe,0.01
27/01/2020,2020-04,0,0,Germany,DE,DEU,83019213,Europe,0
20/01/2020,2020-03,0,0,Germany,DE,DEU,83019213,Europe,0
13/01/2020,2020-02,0,0,Germany,DE,DEU,83019213,Europe,0
06/01/2020,2020-01,0,0,Germany,DE,DEU,83019213,Europe,